category,title,alt words,desc id,description
paper,cardboard,paper old corrugated cardboard occ corrugated fibreboard fiberboard boxes paperboard card stock packaging cardboard barrel detergent box cardboard box coffee cup sleeve,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,pizza box empty no food residue or plastics,boxes paper old corrugated cardboard occ corrugated fibreboard fiberboard paperboard card stock,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,cereal box,paper boxes,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,tissue box,paper boxes kleenex box box,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,,paper boxes,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,shoe box,paper boxes,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,milk carton,cartons containers gable top beverages,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,cigarette package,,8,please flatten cardboard boxes cartons and place in your blue bin before placing the item in your blue bin please remove any liners and dispose of the liners in your garbage bin all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
plastic,plastic food tub,containers tubs buckets wide mouth yogurt margarine plastic tub lid,10,please remove any foil seals rinse and place in your blue bin with lid on all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
,plastic food tub lid,lids tubs tops covers wide mouth,10,please remove any foil seals rinse and place in your blue bin with lid on all recycling should fit in your blue bin with the lid closed if you have extra recycling please keep materials until your next blue bin collection occasionally you can place extra recycling in clear plastic bags beside the full blue bin if you wish to exchange your blue bin for a larger size at no cost please call 311
