CATEGORY,title,alt words,DESC_ID,DESCRIPTION
Paper,cardboard,paper old corrugated cardboard occ corrugated fibreboard fiberboard boxes paperboard card stock packaging cardboard barrel detergent box cardboard box coffee cup sleeve,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,pizza box empty no food residue or plastics,boxes paper old corrugated cardboard occ corrugated fibreboard fiberboard paperboard card stock,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,cereal box,paper boxes,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,tissue box,paper boxes kleenex box box,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,,paper boxes,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,shoe box,paper boxes,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,milk carton,cartons containers gable top beverages,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
,cigarette package,,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Plastic,plastic food tub,containers tubs buckets wide mouth yogurt margarine plastic tub lid,10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
,plastic food tub lid,lids tubs tops covers wide mouth,10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
